threshold,approval_rate,n_false_approvals,loss_false_approvals,n_false_rejects,lost_revenue_false_rejects,revenue_true_approvals,net_business_impact
0.05,0.08312505785429973,17,148410.0,22644,22731444.1725,2264778.715,-20615075.4575
0.07,0.13116726835138387,57,306735.0,21127,21516867.05,3479355.8375000004,-18344246.2125
0.09000000000000001,0.1793637569810855,96,478620.0,19604,20281935.372500002,4714287.515000001,-16046267.857500002
0.11000000000000001,0.22283933475269216,157,712140.0,18256,19131456.905,5864765.9825,-13978830.922500001
0.13,0.2627973711006202,223,1036110.0,17027,18089393.3625,6906829.524999999,-12218673.837500002
0.15000000000000002,0.3013669042549909,293,1293480.0,15847,17105143.08,7891079.8075,-10507543.272499997
0.17000000000000004,0.33675830787744143,370,1670370.0,14777,16180326.3325,8815896.555,-9034799.7775
0.19,0.37057607454719366,453,2009145.0,13764,15300882.725,9695340.1625,-7614687.5625
0.21000000000000002,0.40093801104631427,523,2321775.0,12850,14474803.8825,10521419.005,-6275159.8774999995
0.23000000000000004,0.42984973309883057,603,2688420.0,11993,13711954.86,11284268.0275,-5116106.8325
0.25000000000000006,0.4565089944151316,674,3031350.0,11200,12975062.935,12021159.9525,-3985252.9825
0.27,0.48091579499521736,749,3407340.0,10484,12306724.515,12689498.3725,-3024566.1425
0.29000000000000004,0.5044586380326452,811,3684630.0,9783,11636483.885,13359739.0025,-1961374.8825000003
0.31000000000000005,0.5263661328643278,886,4073460.0,9148,11024447.6075,13971775.280000001,-1126132.3274999987
0.33,0.546391434478077,948,4375380.0,8561,10452037.635000002,14544185.252500001,-283232.3825000003
0.35000000000000003,0.5674966830201488,1016,4708140.0,7945,9841325.4,15154897.4875,605432.0875000004
0.37000000000000005,0.5857632139220587,1083,5052960.0,7420,9319190.8875,15677032.0,1304881.1125000007
0.39000000000000007,0.6033509210404517,1165,5481720.0,6932,8814728.0825,16181494.805,1885046.7225000001
0.4100000000000001,0.6218951525810732,1236,5899560.0,6402,8278244.17,16717978.717500001,2540174.5475000013
0.43000000000000005,0.6377858002406739,1310,6336045.0,5961,7816850.99,17179371.8975,3026475.9075000007
0.45000000000000007,0.6539232929124625,1385,6803205.0,5513,7317398.6075,17678824.28,3558220.6725000013
0.4700000000000001,0.667623191088895,1453,7248285.0,5137,6906620.859999999,18089602.0275,3934696.1675000004
0.49000000000000005,0.6803357092165756,1513,7630500.0,4785,6509376.945,18486845.9425,4346968.997499999
0.5100000000000001,0.6932950723564442,1581,8130750.0,4433,6100146.449999999,18896076.4375,4665179.987500001
0.5300000000000001,0.7057298898454133,1644,8578980.0,4093,5683167.89,19313054.9975,5050907.107499999
0.5500000000000002,0.7177327285630535,1731,9219300.0,3791,5335588.745,19660634.1425,5105745.397499998
0.5700000000000002,0.7298589897867876,1812,9776805.0,3479,4965218.762499999,20031004.125,5288980.362500001
0.5900000000000002,0.7408127372026289,1880,10228305.0,3192,4602484.9175,20393737.97,5562948.052499998
0.6100000000000001,0.7517356289919467,1973,10933020.0,2931,4263816.147499999,20732406.740000002,5535570.592500003
0.6300000000000001,0.7611157394550896,2061,11520135.0,2715,3977107.6950000003,21019115.192500003,5521872.497500002
0.6500000000000001,0.7723163318831189,2173,12399945.0,2464,3670129.4,21326093.4875,5256019.0875
0.6700000000000002,0.7822518436236848,2275,13189005.0,2244,3351099.7524999995,21645123.134999998,5105018.382499998
0.6900000000000002,0.7922182109907742,2404,14171550.0,2050,3108678.5425,21887544.345,4607315.802499998
0.7100000000000002,0.8024931346230986,2536,15156795.0,1849,2855379.705,22140843.182499997,4128668.4774999972
0.7300000000000002,0.8130457588941343,2678,16134015.0,1649,2578737.505,22417485.3825,3704732.8775000004
0.7500000000000002,0.8239377950569287,2838,17247225.0,1456,2301504.37,22694718.5175,3145989.147499998
0.7700000000000002,0.8344595637014409,3015,18510045.0,1292,2084544.1625,22911678.725,2317089.5625000014
0.7900000000000001,0.8458452898886112,3219,19890345.0,1127,1853279.7174999998,23142943.169999998,1399318.4524999983
0.8100000000000002,0.8577555617266809,3439,21258960.0,961,1593787.4575,23402435.43,549687.9724999997
0.8300000000000002,0.869079576660804,3674,22846800.0,829,1391890.0324999997,23604332.854999997,-634357.177500003
